TestyMctestertonTestyMctestertonFeb 09 2021 1:43 PM: saltminion2is unresponsive!
Feb 09 2021 1:43 PM: Found vacant VM "saltminionevan.novalocal", assigning to bobber
Feb 09 2021 1:47 PM: bobberis already logged into saltminionevan.novalocal, attempting to reconnect
Feb 09 2021 1:50 PM: User "bobber" is already logged into saltminionevan.novalocal, attempting to reconnect
Feb 09 2021 1:50 PM: User "bobber" is already logged into saltminionevan.novalocal, attempting to reconnect
Feb 09 2021 1:50 PM: User "bobber" is already logged into saltminionevan.novalocal, attempting to reconnect
Feb 09 2021 1:50 PM: All VMs in use
Feb 09 2021 3:11 PM: Found vacant VM "saltminion2", assigning to bbber
Feb 09 2021 3:13 PM: User "bobber" is already logged into saltminionevan.novalocal, attempting to reconnect
Feb 09 2021 3:14 PM: Found vacant VM "saltminion2", assigning to bbber
Feb 09 2021 4:20 PM: Found vacant VM "saltminion2", assigning to bbber
Feb 09 2021 4:21 PM: Found vacant VM "saltminion2", assigning to bbber
Feb 09 2021 4:22 PM: Found vacant VM "saltminion2", assigning to bbber
Feb 10 2021 1:19 PM: User "bob" is already logged into win10minion2, attempting to reconnect
Feb 10 2021 1:19 PM: All VMs in use
Feb 10 2021 1:20 PM: User "bob" is already logged into win10minion2, attempting to reconnect
Feb 10 2021 1:20 PM: Found vacant VM "win10.openstacklocal", assigning to bobf
Feb 10 2021 1:25 PM: Found vacant VM "win10.openstacklocal", assigning to bob
Feb 10 2021 1:26 PM: Found vacant VM "win10.openstacklocal", assigning to bob
Feb 10 2021 1:28 PM: User "bob" is already logged into win10minion2, attempting to reconnect
Feb 10 2021 1:28 PM: Found vacant VM "win10.openstacklocal", assigning to bobr
Feb 10 2021 1:28 PM: User "bob" is already logged into win10minion2, attempting to reconnect
